id;lang;name;short_description;slug;meta_title;meta_description;og_title;og_description;intro_text;og_image_alt;og_image_url
2;de;Gesundheits- & Fitnessrechner;Berechnen Sie BMI, Puls, Kalorien und Pace für Ihre Gesundheit und Fitness.;gesundheit-fitness;Gesundheitsrechner | BMI, Herzfrequenz, Pace & Ernährung;Kostenlose Rechner für BMI, Herzfrequenzzonen, Lauftempo, Ernährung, Schlaf und Körperzusammensetzung. Präzise Tools für Gesundheit und sportliche Ziele.;Gesundheits- & Fitnessrechner für Training und Wohlbefinden;Entdecken Sie smarte Rechner für BMI, Puls, Pace, Laufprognosen, Ernährungsplanung, Erholung und Tracking der Körperzusammensetzung.;All-in-One Gesundheits- und Fitnessrechner zum Messen, Planen und Verbessern von Körper, Training und Regeneration – von BMI und Herzfrequenzzonen bis hin zu Pace, Ernährung und Schlaf.;Dashboard mit Gesundheits- und Fitnessrechnern, Diagrammen und Metriken;gesundheit-fitness-de.png
2;es;Calculadoras de Salud y Fitness;Calcule IMC, pulso, calorías y ritmo para controlar su salud y estado físico.;salud-fitness;Calculadoras de Salud y Fitness | IMC, Frecuencia Cardíaca y Nutrición;Calculadoras gratuitas para rastrear IMC, zonas de frecuencia cardíaca, ritmo de carrera, nutrición, sueño y rendimiento. Herramientas precisas para el bienestar diario.;Calculadoras de Salud y Fitness para Entrenamiento y Bienestar;Explore calculadoras inteligentes para IMC, zonas de pulso, ritmo de carrera, predicción de carreras, planificación nutricional y composición corporal.;Calculadoras de salud y fitness todo en uno para medir, planificar y mejorar su cuerpo, entrenamiento y recuperación: desde IMC y zonas cardíacas hasta ritmo, nutrición y sueño.;Panel de calculadoras de salud y fitness con gráficos y métricas;salud-fitness-es.png
2;fr;Calculatrices Santé et Fitness;Calculez IMC, pouls, calories et allure pour votre santé et forme physique.;sante-fitness;Calculatrices Santé et Fitness | IMC, Cardio, Allure & Nutrition;Outils gratuits pour suivre l'IMC, les zones de fréquence cardiaque, l'allure de course, la nutrition et le sommeil. Des calculatrices précises pour vos objectifs sportifs.;Calculatrices Santé et Fitness pour l'Entraînement et le Bien-être;Découvrez des calculatrices intelligentes pour l'IMC, le rythme cardiaque, l'allure, la prédiction de course, la planification nutritionnelle et la récupération.;Des calculatrices santé et fitness complètes pour mesurer, planifier et améliorer votre corps, votre entraînement et votre récupération - de l'IMC et du cardio à l'allure et au sommeil.;Tableau de bord des calculatrices santé et fitness avec graphiques;sante-fitness-fr.png
2;it;Calcolatori Salute e Fitness;Calcola IMC, frequenza, calorie e passo per la tua salute e il tuo fitness.;salute-fitness;Calcolatori Salute e Fitness | IMC, Frequenza Cardiaca e Dieta;Calcolatori gratuiti per monitorare IMC, zone cardio, passo di corsa, nutrizione, sonno e prestazioni. Strumenti precisi per la salute quotidiana e gli obiettivi atletici.;Calcolatori Salute e Fitness per Allenamento e Benessere;Esplora calcolatori intelligenti per IMC, zone di frequenza cardiaca, passo, previsione gara, pianificazione nutrizionale e composizione corporea.;Calcolatori salute e fitness tutto in uno per misurare, pianificare e migliorare il tuo corpo, l'allenamento e il recupero: da IMC e zone cardio a passo, nutrizione e sonno.;Dashboard di calcolatori salute e fitness con grafici e metriche;salute-fitness-it.png
2;pl;Kalkulatory Zdrowia i Fitnessu;Oblicz BMI, tętno, kalorie i tempo dla kontroli zdrowia i kondycji fizycznej.;zdrowie-fitness;Kalkulatory Zdrowia i Fitnessu | BMI, Tętno, Tempo i Dieta;Darmowe kalkulatory: BMI, strefy tętna, tempo biegu, odżywianie, sen i skład ciała. Precyzyjne narzędzia do monitorowania zdrowia i celów treningowych.;Kalkulatory Zdrowia i Fitnessu: Trening, Dieta i Samopoczucie;Odkryj inteligentne kalkulatory do BMI, stref tętna, tempa biegu, prognozowania wyników, planowania diety, regeneracji snu i śledzenia składu ciała.;Kompleksowe kalkulatory zdrowia i fitnessu do mierzenia, planowania i poprawy kondycji ciała, treningu i regeneracji – od BMI i stref tętna po tempo, dietę i sen.;Panel kalkulatorów zdrowia i fitnessu z wykresami i wskaźnikami;zdrowie-fitness-pl.png
2;lv;Veselības un fitnesa kalkulatori;Aprēķiniet ĶMI, pulsu, kalorijas un tempu saviem veselības un sporta mērķiem.;veseliba-fitness;Veselības un fitnesa kalkulatori | ĶMI, pulss, temps un uzturs;Bezmaksas kalkulatori ĶMI, pulsa zonu, skriešanas tempa, uztura un miega kontrolei. Precīzi rīki ikdienas veselības uzraudzībai un sporta mērķiem.;Veselības un fitnesa kalkulatori treniņiem un labsajūtai;Izmantojiet viedos kalkulatorus ĶMI, pulsa zonu, skriešanas tempa, sacensību prognožu, uztura plānošanas un ķermeņa sastāva noteikšanai.;Viss vienā: veselības un fitnesa kalkulatori ķermeņa, treniņu un atjaunošanās procesa mērīšanai un uzlabošanai - no ĶMI un pulsa zonām līdz tempam, uzturam un miegam.;Veselības un fitnesa kalkulatoru panelis ar grafikiem un rādītājiem;veseliba-fitness-lv.png
3;en;Converters;Quickly convert measurement units, time, and formats for accurate calculations.;converters;Unit Converters | Measurement, Temperature, Time & Format Conversion Tools;Free online converters to quickly convert units of measurement, temperature, time, mass, volume, speed, storage, angles, and formats. Simple, accurate unit conversion tools with step-by-step explanations.;Unit & Measurement Converters for Everyday and Technical Use;Convert measurement units, temperatures, time formats, mass, volume, speed, angles, storage sizes, and numeric formats using easy-to-use online converters.;A comprehensive collection of unit and format converters that help you translate values between measurement systems, units, and representations - quickly, clearly, and without complex calculations.;Unit conversion tools interface with measurement scales and symbols;converters-en.png
3;ru;Конвертеры;Быстрый перевод любых единиц измерения, времени и форматов для точных расчетов.;konvertery;Конвертеры единиц;Измерение, температура, время и форматы;Конвертеры единиц и измерений для повседневного и технического использования;Бесплатные онлайн-конвертеры для быстрой пересчета единиц измерения, температуры, времени, массы, объема, скорости, памяти, углов и форматов. Простые и точные инструменты с пошаговыми объяснениями.;Интерфейс инструментов для конвертации единиц с масштабами и символами;Переводите единицы измерений, температуры, форматы времени, массу, объем, скорость, углы, размеры памяти и числовые форматы с помощью удобных онлайн-конвертеров.;konvertery-ru.png
3;de;Umrechner;Konvertieren Sie Maßeinheiten, Zeit und Formate schnell und präzise online.;umrechner;Einheitenumrechner | Maße, Temperatur, Zeit & Formate;Kostenlose Online-Umrechner für Maßeinheiten, Temperatur, Zeit, Gewicht, Volumen, Geschwindigkeit und Speicher. Einfache und präzise Tools mit Erklärungen.;Umrechner für Einheiten & Maße für Alltag und Technik;Konvertieren Sie Maßeinheiten, Temperaturen, Zeitformate, Masse, Volumen, Winkel und Datenmengen mit benutzerfreundlichen Online-Tools.;Eine umfassende Sammlung von Umrechnern, die Ihnen helfen, Werte zwischen verschiedenen Maßsystemen und Einheiten schnell, verständlich und ohne komplexe Rechnungen zu übersetzen.;Benutzeroberfläche für Einheitenumrechnung mit Skalen und Symbolen;umrechner-de.png
3;es;Conversores;Convierta unidades de medida, tiempo y formatos de manera rápida y precisa.;conversores;Conversores de Unidades | Medidas, Temperatura y Tiempo;Conversores online gratuitos para unidades de medida, temperatura, tiempo, masa, volumen, velocidad y almacenamiento. Herramientas sencillas y precisas.;Conversores de Unidades y Medidas para Uso Técnico y Diario;Convierta unidades de medida, temperaturas, formatos de tiempo, masa, volumen, velocidad, ángulos y formatos numéricos fácilmente.;Una colección completa de conversores de unidades y formatos que le ayudan a traducir valores entre sistemas de medición de forma rápida, clara y sin cálculos complejos.;Interfaz de herramientas de conversión con escalas y símbolos;conversores-es.png
3;fr;Convertisseurs;Convertissez mesures, temps et formats pour des résultats rapides et précis.;convertisseurs;Convertisseurs d'Unités | Mesures, Température et Temps;Convertisseurs en ligne gratuits pour les unités de mesure, la température, le temps, la masse, le volume et la vitesse. Outils simples et précis.;Convertisseurs d'Unités et de Mesures pour le Quotidien;Convertissez facilement les unités de mesure, les températures, le temps, la masse, le volume, la vitesse, les angles et les formats numériques.;Une collection complète de convertisseurs pour traduire des valeurs entre différents systèmes de mesure et unités, rapidement et sans calculs complexes.;Interface d'outils de conversion d'unités avec échelles;convertisseurs-fr.png
3;it;Convertitori;Converti unità di misura, tempo e formati rapidamente per risultati esatti.;convertitori;Convertitori di Unità | Misure, Temperatura e Tempo;Convertitori online gratuiti per unità di misura, temperatura, tempo, massa, volume, velocità e dati. Strumenti semplici e precisi con spiegazioni.;Convertitori di Unità e Misure per Uso Tecnico e Quotidiano;Converti unità di misura, temperature, formati orari, massa, volume, velocità, angoli e dimensioni di archiviazione con strumenti facili da usare.;Una raccolta completa di convertitori per tradurre valori tra sistemi di misurazione e unità in modo rapido, chiaro e senza calcoli complessi.;Interfaccia strumenti di conversione con scale e simboli;convertitori-it.png
3;pl;Przeliczniki;Szybko przeliczaj jednostki miary, czas i formaty dla dokładnych obliczeń.;przeliczniki;Przeliczniki Jednostek | Miary, Temperatura, Czas i Formaty;Darmowe przeliczniki online: jednostki miary, temperatura, czas, masa, objętość, prędkość i pamięć. Proste i dokładne narzędzia do konwersji.;Przeliczniki Jednostek i Miar do Zastosowań Codziennych;Przeliczaj jednostki miary, temperatury, formaty czasu, masę, objętość, prędkość, kąty i wielkości danych za pomocą wygodnych narzędzi online.;Kompleksowy zbiór przeliczników i konwerterów, które pomagają tłumaczyć wartości między systemami miar i jednostkami - szybko, przejrzyście i bez skomplikowanych obliczeń.;Interfejs narzędzi do konwersji jednostek ze skalami;przeliczniki-pl.png
3;lv;Konvertētāji;Konvertējiet mērvienības, laiku un formātus ātriem un precīziem aprēķiniem.;konvertetaji;Mērvienību konvertētāji | Mēri, temperatūra un laiks;Bezmaksas tiešsaistes konvertētāji mērvienību, temperatūras, laika, masas, tilpuma un ātruma pārvēršanai. Vienkārši un precīzi rīki.;Mērvienību un formātu konvertētāji ikdienai un darbam;Pārvērtiet mērvienības, temperatūru, laika formātus, masu, tilpumu, ātrumu, leņķus un datu apjomu, izmantojot ērtus tiešsaistes rīkus.;Visaptveroša konvertētāju kolekcija, kas palīdz ātri un bez sarežģītiem aprēķiniem pārvērst vērtības starp dažādām mērīšanas sistēmām un vienībām.;Mērvienību konvertēšanas rīku saskarne ar skalām;konvertetaji-lv.png
4;en;Currency Converter;Get live exchange rates and convert global currencies instantly and accurately.;currency-converter;Currency Converter | Live Exchange Rates & Money Conversion;Free currency converter with live exchange rates. Convert money between major and minor world currencies using up-to-date market and central bank rates.;Currency Converter with Live Exchange Rates;Convert currencies instantly using accurate, up-to-date exchange rates. Compare values, track changes, and calculate money conversions between global currencies.;Convert money between global currencies using reliable, regularly updated exchange rates - fast, clear, and easy to use.;Currency converter interface with world currencies and exchange rates;currency-converter-en.png
4;ru;Конвертер валют;Актуальные курсы мировых валют и мгновенная конвертация для точных расчетов.;konverter-valyut;Конвертер валют;Актуальные курсы и перевод денег;Конвертер валют с актуальными курсами;Бесплатный конвертер валют с актуальными курсами. Переводите деньги между основными и дополнительными мировыми валютами по текущим рыночным и центральнобанковским курсам.;Интерфейс конвертера с мировыми валютами и курсами;Мгновенно конвертируйте валюты с точными и актуальными курсами. Сравнивайте значения, отслеживайте изменения и рассчитывайте переводы между мировыми валютами.;konverter-valyut-ru.png
4;de;Währungsrechner;Nutzen Sie aktuelle Wechselkurse für schnelle und genaue Währungsumrechnungen.;waehrungsrechner;Währungsrechner | Aktuelle Wechselkurse & Umrechnung;Kostenloser Währungsrechner mit Live-Kursen. Rechnen Sie Geld zwischen Weltwährungen um – basierend auf aktuellen Markt- und Zentralbankkursen.;Währungsrechner mit Live-Wechselkursen;Konvertieren Sie Währungen sofort mit präzisen, aktuellen Wechselkursen. Vergleichen Sie Werte und berechnen Sie Umrechnungen weltweit.;Rechnen Sie Geld zwischen globalen Währungen um, basierend auf zuverlässigen, regelmäßig aktualisierten Wechselkursen – schnell, übersichtlich und einfach zu bedienen.;Benutzeroberfläche des Währungsrechners mit Weltwährungen;waehrungsrechner-de.png
4;es;Conversor de Divisas;Obtenga tipos de cambio actuales y convierta divisas mundiales al instante.;conversor-divisas;Conversor de Divisas | Tipos de Cambio en Tiempo Real;Conversor de divisas gratuito con tasas en vivo. Convierta dinero entre las principales monedas mundiales utilizando tipos de cambio de mercado actualizados.;Conversor de Divisas con Tipos de Cambio en Vivo;Convierta monedas al instante utilizando tipos de cambio precisos y actualizados. Compare valores y calcule conversiones de dinero global.;Convierta dinero entre monedas globales utilizando tipos de cambio confiables y actualizados periódicamente: rápido, claro y fácil de usar.;Interfaz del conversor de moneda con divisas mundiales;conversor-divisas-es.png
4;fr;Convertisseur de Devises;Obtenez les taux de change actuels et convertissez les devises instantanément.;convertisseur-devises;Convertisseur de Devises | Taux de Change en Direct;Convertisseur de devises gratuit avec taux en direct. Convertissez de l'argent entre les devises mondiales selon les taux du marché et des banques centrales.;Convertisseur de Devises avec Taux de Change en Direct;Convertissez instantanément des devises grâce à des taux de change précis et actualisés. Comparez les valeurs et calculez les conversions.;Convertissez de l'argent entre les devises mondiales à l'aide de taux de change fiables et régulièrement mis à jour - rapide, clair et facile à utiliser.;Interface du convertisseur de devises avec taux de change;convertisseur-devises-fr.png
4;it;Convertitore di Valuta;Ottieni tassi di cambio attuali e converti valute globali istantaneamente.;convertitore-valuta;Convertitore di Valuta | Tassi di Cambio in Tempo Reale;Convertitore di valuta gratuito con tassi live. Converti denaro tra le principali valute mondiali utilizzando i tassi di mercato e delle banche centrali aggiornati.;Convertitore di Valuta con Tassi di Cambio Aggiornati;Converti valute istantaneamente utilizzando tassi di cambio precisi. Confronta valori, traccia i cambiamenti e calcola le conversioni monetarie.;Converti denaro tra valute globali utilizzando tassi di cambio affidabili e regolarmente aggiornati: veloce, chiaro e facile da usare.;Interfaccia del convertitore di valuta con tassi di cambio;convertitore-valuta-it.png
4;pl;Przelicznik Walut;Sprawdź aktualne kursy wymiany i błyskawicznie przeliczaj waluty światowe.;przelicznik-walut;Przelicznik Walut | Aktualne Kursy i Wymiana Online;Darmowy przelicznik walut z kursami na żywo. Przeliczaj pieniądze między światowymi walutami, korzystając z aktualnych kursów rynkowych i bankowych.;Przelicznik Walut z Aktualnymi Kursami Wymiany;Błyskawicznie przeliczaj waluty, korzystając z dokładnych, aktualnych kursów wymiany. Porównuj wartości i obliczaj przewalutowania.;Przeliczaj pieniądze między światowymi walutami, korzystając z wiarygodnych, regularnie aktualizowanych kursów wymiany – szybko, przejrzyście i łatwo.;Interfejs przelicznika walut z kursami wymiany;przelicznik-walut-pl.png
4;lv;Valūtas kalkulators;Iegūstiet aktuālos kursus un precīzi konvertējiet pasaules valūtas tūlīt.;valutas-kalkulators;Valūtas kalkulators | Aktuālie valūtas kursi un konvertācija;Bezmaksas valūtas kalkulators ar reāllaika kursiem. Pārvērtiet naudu starp pasaules valūtām, izmantojot aktuālos tirgus un centrālo banku kursus.;Valūtas kalkulators ar aktuālajiem maiņas kursiem;Pārvērtiet valūtas nekavējoties, izmantojot precīzus un atjauninātus maiņas kursus. Salīdziniet vērtības un aprēķiniet naudas konvertāciju.;Pārvērtiet naudu starp pasaules valūtām, izmantojot uzticamus, regulāri atjauninātus maiņas kursus - ātri, pārskatāmi un ērti.;Valūtas konvertētāja saskarne ar pasaules valūtām;valutas-kalkulators-lv.png
5;en;Marketing Calculators;Calculate ROAS, CPA, funnels, and ROI to analyze marketing performance and growth.;marketing;Marketing Calculators | ROAS, CPA, Funnels, Attribution & Growth Metrics;Free marketing calculators to measure ROAS, CPA, attribution models, funnel conversion, subscriber value, loyalty points, and ROI. Practical tools for performance marketing and growth analysis.;Marketing Calculators for Performance, Growth & ROI Analysis;Analyze marketing performance with calculators for ROAS, CPA, attribution, funnels, customer value, loyalty programs, and organic traffic ROI.;Marketing calculators that help you evaluate performance, optimize budgets, and make data-driven growth decisions across channels, campaigns, and funnels.;Marketing analytics dashboard with ROAS, funnels, and growth metrics;marketing-en.png
5;ru;Маркетинговые калькуляторы;Расчет ROAS, CPA, воронок и ROI для анализа эффективности маркетинга и продаж.;marketing;Маркетинговые калькуляторы;ROAS, CPA, воронки и метрики роста;Маркетинговые калькуляторы для анализа эффективности и ROI;Бесплатные маркетинговые калькуляторы для расчета ROAS, CPA, моделей атрибуции, конверсии воронок, ценности подписчиков, баллов лояльности и ROI. Практичные инструменты для анализа эффективности и роста.;Дашборд маркетинговой аналитики с ROAS, воронками и метриками роста;Анализируйте эффективность маркетинга с помощью калькуляторов ROAS, CPA, атрибуции, воронок, ценности клиентов, программ лояльности и ROI органического трафика.;marketing-ru.png
5;de;Marketing Rechner;Berechnen Sie ROAS, CPA, Funnels und ROI zur Analyse Ihrer Marketingstrategie.;marketing-rechner;Marketing Rechner | ROAS, CPA, Funnels & Growth-Metriken;Kostenlose Marketing-Rechner für ROAS, CPA, Attributionsmodelle, Conversion-Funnels und ROI. Praktische Tools für Performance-Marketing und Wachstumsanalysen.;Marketing Rechner für Performance & ROI;Analysieren Sie die Marketingleistung mit Rechnern für ROAS, CPA, Attribution, Funnels, Customer Value (CLV) und den ROI von organischem Traffic.;Marketing-Rechner, die Ihnen helfen, die Leistung zu bewerten, Budgets zu optimieren und datengestützte Wachstumsentscheidungen über Kanäle und Kampagnen hinweg zu treffen.;Dashboard für Marketinganalysen mit ROAS, Funnels und Wachstumsmetriken;marketing-rechner-de.png
5;es;Calculadoras de Marketing;Calcule ROAS, CPA, embudos y ROI para analizar el rendimiento del marketing.;calculadoras-marketing;Calculadoras de Marketing | ROAS, CPA, Embudos y ROI;Calculadoras de marketing gratuitas para medir ROAS, CPA, modelos de atribución, conversión de embudos y ROI. Herramientas prácticas para growth y performance.;Calculadoras de Marketing para Rendimiento y Crecimiento;Analice el rendimiento del marketing con calculadoras para ROAS, CPA, atribución, embudos, valor del cliente (CLV) y ROI del tráfico orgánico.;Calculadoras de marketing que le ayudan a evaluar el rendimiento, optimizar presupuestos y tomar decisiones de crecimiento basadas en datos en todos sus canales y campañas.;Panel de análisis de marketing con ROAS, embudos y métricas;calculadoras-marketing-es.png
5;fr;Calculatrices Marketing;Calculez ROAS, CPA, tunnels et ROI pour analyser vos performances marketing.;calculatrices-marketing;Calculatrices Marketing | ROAS, CPA, Tunnels & ROI;Calculatrices gratuites pour mesurer le ROAS, le CPA, les modèles d'attribution, les tunnels de conversion et le ROI. Outils pour le marketing à la performance.;Calculatrices Marketing pour la Performance et le ROI;Analysez vos performances marketing avec des outils pour le ROAS, le CPA, l'attribution, les tunnels de vente et la valeur client (LTV).;Des calculatrices marketing pour évaluer vos performances, optimiser vos budgets et prendre des décisions de croissance basées sur les données.;Tableau de bord d'analyse marketing avec ROAS et métriques de croissance;calculatrices-marketing-fr.png
5;it;Calcolatori Marketing;Calcola ROAS, CPA, funnel e ROI per analizzare le performance di marketing.;calcolatori-marketing;Calcolatori Marketing | ROAS, CPA, Funnel e Attribuzione;Calcolatori di marketing gratuiti per misurare ROAS, CPA, modelli di attribuzione, conversioni funnel e ROI. Strumenti pratici per il performance marketing.;Calcolatori Marketing per Performance e Analisi ROI;Analizza le performance di marketing con calcolatori per ROAS, CPA, attribuzione, funnel, valore del cliente (LTV) e ROI del traffico organico.;Calcolatori di marketing che ti aiutano a valutare le performance, ottimizzare i budget e prendere decisioni di crescita basate sui dati su canali e campagne.;Dashboard di analisi marketing con ROAS, funnel e metriche di crescita;calcolatori-marketing-it.png
5;pl;Kalkulatory Marketingowe;Oblicz ROAS, CPA, lejki i ROI, aby analizować skuteczność swojego marketingu.;kalkulatory-marketingowe;Kalkulatory Marketingowe | ROAS, CPA, Lejki i ROI;Darmowe kalkulatory marketingowe do mierzenia ROAS, CPA, modeli atrybucji, konwersji lejków i ROI. Praktyczne narzędzia do performance marketingu.;Kalkulatory Marketingowe: Wydajność, Wzrost i ROI;Analizuj wyniki marketingowe za pomocą kalkulatorów ROAS, CPA, atrybucji, lejków sprzedażowych, wartości klienta (LTV) i zwrotu z inwestycji.;Kalkulatory marketingowe, które pomagają oceniać wyniki, optymalizować budżety i podejmować oparte na danych decyzje dotyczące wzrostu w różnych kanałach i kampaniach.;Pulpit analityki marketingowej z ROAS, lejkami i wskaźnikami wzrostu;kalkulatory-marketingowe-pl.png
